,North,South,East,West,Pickup,Drop
0,0.0,-1.869648645090145,-1.874771215683943,0.0,0.0,0.0
1,0.0,-1.7885485250037163,-1.788692633670056,-1.8317822658122196,0.0,0.0
2,0.0,-1.591734898728289,-1.6678717563191185,-1.7823591512284798,0.0,0.0
3,0.0,-1.5957997868331837,-1.6420612546610218,-1.708887496131807,0.0,0.0
4,0.0,-0.40235739277536564,0.0,-1.7756889825553244,0.0,0.0
5,-1.802349838128681,-1.7860383618511777,-1.787082824674881,0.0,0.0,0.0
6,-1.6994276868532405,-1.6941425428150907,-1.7053807497927802,-1.7848690015790392,0.0,0.0
7,-1.54401815971759,-0.9760469099045587,-1.5806862666230976,-1.5386571746505622,0.0,0.0
8,-1.6228060058645293,-1.1697535322544135,-0.46014479361644023,-1.6473878863408473,0.0,0.0
9,-1.341228817939347,1.3609259698854663,0.0,-1.6511736037677835,0.0,0.0
10,-1.7976418219048882,-1.7143864253161194,-1.6146748457596505,0.0,0.0,0.0
11,-1.7096884876544927,-1.6547201895786603,-1.675570076060186,-1.747710467579001,0.0,0.0
12,-1.6330756427185353,-1.6441686336806625,-0.6637779177863372,-1.607634781394097,0.0,0.0
13,-1.6516137299218032,-1.0909598429034755,-1.4746083439006352,-1.5157185078871565,0.0,0.0
14,-1.7012409799482513,-1.6662857579249424,0.0,-1.5435388615708732,12.212774145273768,0.0
15,-1.7233070023052175,-1.7456480890007766,-1.6405965406611838,0.0,0.0,0.0
16,-1.6482047894226353,-1.7098341483556652,-1.6854588477997403,-1.6538689145975498,12.069545149835996,0.0
17,-1.6719031732721161,-1.7002403216218671,-1.6611590244294205,4.676556908560768,0.0,0.0
18,-1.467659310005117,-1.603124918586452,-1.6981286023096573,0.6945074147956529,0.0,0.0
19,-1.6782090844469382,-1.7681132993570792,0.0,-1.5913591224028003,0.0,0.0
20,-1.673842145562351,0.0,-1.442474527076413,0.0,0.0,0.0
21,1.7972805446978735,0.0,-1.7142153542751681,-1.639689294911348,0.0,0.0
22,-1.7046076437018283,0.0,-1.6922803779333873,-1.7164072999596947,0.0,0.0
23,-1.647186430995198,0.0,-1.7065882326320228,-1.6695891385384851,0.0,0.0
24,-1.785453975546398,0.0,0.0,-1.7918018123845487,0.0,0.0
25,0.0,-1.888300138625329,-1.8988156890749646,0.0,0.0,12.070614560134386
26,0.0,-1.9260927536950034,-1.9008616572267576,3.8778460177144822,0.0,0.0
27,0.0,-1.9083846025005846,-1.900329685671929,-0.30119571795036987,0.0,0.0
28,0.0,-1.910215851970594,-1.8929340530209182,-1.8973508485876134,0.0,0.0
29,0.0,-1.8835347294284588,0.0,-1.9211674182528817,0.0,12.59183694527115
30,2.658119813255235,-1.9170601982984632,-1.8658386256935586,0.0,0.0,0.0
31,-1.8979834307184342,-1.8855794546454177,-1.918344273763436,-1.175895972875808,0.0,0.0
32,-1.6584751751994407,-1.8718106390220832,-1.9192298972215678,-1.9033785124202773,0.0,0.0
33,-1.9174027887260745,-1.8752725044731318,-1.8793435526056248,-1.9332502332070558,0.0,0.0
34,3.4948340393909127,-1.8861558196397652,0.0,-1.9180233509290598,0.0,0.0
35,-1.9334842125682021,-1.9408713482306164,-1.9374011003297746,0.0,0.0,0.0
36,-1.9276493888294786,-1.943742386180275,-1.9263425173768405,-1.9369955565792116,0.0,0.0
37,-1.9043762576781087,-1.89757202691475,-1.6037222394457706,-1.9299320183425344,0.0,12.94345786433957
38,-1.9170298555334973,-1.922230660211363,-1.9101833940363622,-0.3829181540291845,0.0,0.0
39,-0.7044089221410813,-1.1782820436950576,0.0,-1.9350507481271018,0.0,0.0
40,-1.929999869482514,-1.9365342901067781,-1.9397363661325393,0.0,0.0,0.0
41,-1.9444974563993038,-1.9449584072296162,-1.942954001523209,-1.9402947735874085,0.0,0.0
42,0.29772680582402566,-1.9355453190975176,-1.9303611600606012,-1.9271873011531189,0.0,0.0
43,-1.9216197465968663,-1.9275074312695801,-1.2444604197854763,-1.9280616769426868,0.0,0.0
44,-1.9116131764635362,3.408815388969522,0.0,-1.9154687612292622,0.0,0.0
45,-1.9329199775448969,0.0,-1.936260771026254,0.0,0.0,0.0
46,-1.9374088595716175,0.0,-1.9318043083044205,-1.940330252054511,0.0,0.0
47,-1.9339909767248842,0.0,-1.9309286643995744,-1.908974149515963,0.0,0.0
48,-1.9312847722605961,0.0,-1.9257306626020596,-1.9339524251516187,0.0,0.0
49,-1.899320609680325,0.0,0.0,-1.9147705346585409,0.0,12.137401196166019
