,North,South,East,West,Pickup,Drop
0,0.0,-1.6444457526690273,-1.3474338249044355,0.0,0.0,0.0
1,0.0,-1.5275816989439785,-1.7512884782330076,-1.8622205610218505,0.0,0.0
2,0.0,-1.6951432393462627,-1.5976840641480807,-1.6697440616217536,0.0,0.0
3,0.0,-1.198439825874598,-1.7215756493898753,-1.7281342835043665,0.0,0.0
4,0.0,1.6741538011254384,0.0,-1.563675904221728,0.0,0.0
5,-1.8523720179428422,-1.5365592221084388,-1.5677891425738637,0.0,0.0,0.0
6,-1.706598190179049,-1.7180699977812932,-1.4718954445250438,-1.6957504117178077,0.0,0.0
7,-1.5498816910733437,-1.242810959005709,-0.3456087768612204,-1.7897051375736925,0.0,0.0
8,-1.6906943683812916,-1.5518931049600768,0.1434751215773299,-1.4573006122007488,0.0,0.0
9,-0.8261978322329706,5.38207830092715,0.0,-1.338597027474763,0.0,0.0
10,-1.630014227624021,-1.671093118738113,-1.6691289730716115,0.0,0.0,0.0
11,-1.6793176466386726,1.4711629491527385,-1.6941810619438078,-1.7618879054404382,0.0,0.0
12,-1.628986606091439,-1.61678554296061,-1.5278578373623357,-1.7397768630554395,0.0,0.0
13,-1.6642168382140303,-1.6949672091268555,-1.6479647288900552,-1.4193408924896467,0.0,0.0
14,-1.73061504048952,-1.7016835390167349,0.0,-1.6604395121279325,12.36445457001296,0.0
15,-1.5830039713391524,-1.6254154114390975,1.6245078349649065,0.0,0.0,0.0
16,-1.5921079726614302,-1.700112951150937,-1.7523814580271133,-1.5689896433913049,12.378382107363649,0.0
17,-1.5520078581771464,-1.663816180353253,-1.7042672089674995,-1.6664468688979426,0.0,0.0
18,-1.5580995083528557,-1.5861450229363663,-0.0642307365687278,-1.704160740566921,0.0,0.0
19,5.361462386069407,-1.410508763493338,0.0,-1.6362441441776687,0.0,0.0
20,-1.7026490740984142,0.0,-1.6379244076771236,0.0,0.0,0.0
21,-1.5386022512190318,0.0,-1.6922685961529416,-1.637771360144126,0.0,0.0
22,-1.7132642566196696,0.0,-1.4037691904027239,-1.6008990585385283,0.0,0.0
23,-1.6481100078951894,0.0,-0.6452630190988028,-1.7636144539891874,0.0,0.0
24,1.6466315703101189,0.0,0.0,-1.5942293884203513,0.0,0.0
25,0.0,-1.9403770947229275,-1.9303731467460157,0.0,0.0,12.229511295081632
26,0.0,-1.8727942039316305,-1.94119570406081,-1.9069660921862197,0.0,0.0
27,0.0,-1.9725595666800908,-1.9334943600649481,-1.9189047006661217,0.0,0.0
28,0.0,-1.9734590399099927,-1.9375621594394108,-1.9542766776763307,0.0,0.0
29,0.0,-1.929457209361484,0.0,-1.9229582083150973,0.0,13.652728243824466
30,-1.9430086377055287,-1.962269162962225,-1.9695745522472266,0.0,0.0,0.0
31,-1.879055136686115,-1.8575724105830362,-1.9745273790074331,-1.9694791122953996,0.0,0.0
32,-1.9752619123911521,-1.9234735285824685,-1.9822477964322536,-1.9729244653672429,0.0,0.0
33,-1.8361669942549825,-1.86743901655474,-1.977842915095781,-1.9771279648311229,0.0,0.0
34,1.5501830726313424,-1.9418665027309712,0.0,-1.9047551727133634,0.0,0.0
35,-1.9655821843778283,-1.9677768427789424,-1.8619802073529041,0.0,0.0,0.0
36,-1.8624946415553805,-1.8923955974230733,3.230600395727108,-1.9706291608414808,0.0,0.0
37,-1.981296598611344,-1.9753042103548455,-1.934125638380329,-1.8612691846039193,0.0,12.429234817399015
38,-1.9784878277615905,-1.9437216756453664,-1.915793638685134,1.3466776541749075,0.0,0.0
39,-1.9321908829915604,-1.9465954692629532,0.0,-1.9433065551317803,0.0,0.0
40,-1.9717941742354494,-1.9737295942917295,-1.9769885191419507,0.0,0.0,0.0
41,-1.1256405446258346,-1.9813559379203216,-1.9834690082289979,-1.975088590161761,0.0,0.0
42,-1.9749471972904762,-1.8018015691261235,-1.9786238248173378,-1.9800816509205896,0.0,0.0
43,-1.9804632977194252,-1.8633202742679302,-1.9056061412167256,-1.9829331727337973,0.0,0.0
44,-1.9252837560477642,-1.911726912642111,0.0,-1.9508277608387519,0.0,0.0
45,-1.9798066608389258,0.0,-1.9761331451653383,0.0,0.0,0.0
46,-1.976107427149628,0.0,-1.9803679884336858,-1.9822246560381598,0.0,0.0
47,-1.978889685126532,0.0,-0.3295819727568641,-1.9766531338745055,0.0,0.0
48,-1.899296827056451,0.0,-1.9047427421526522,-1.975319352400033,0.0,0.0
49,-1.9200015110390645,0.0,0.0,-1.9109104917415825,0.0,13.384398596146111
