,North,South,East,West,Pickup,Drop
0,0.0,-1.804835527892752,-1.908873775705451,0.0,0.0,0.0
1,0.0,-1.5614643604246874,-1.8734667904167353,-1.8840514754903648,0.0,0.0
2,0.0,-1.770264025320758,-1.8133141162062618,-1.8412915892322717,12.236777528620335,0.0
3,0.0,-1.645284912075052,-1.8614345182981729,-1.8372952536996472,0.0,0.0
4,0.0,-1.8245217348760354,0.0,-1.7935799286898986,0.0,0.0
5,-1.855523910909287,-1.4347705525926615,-1.8668963133784864,0.0,0.0,0.0
6,-1.8654455929782026,-0.9509001889261286,-1.7404143097976221,-1.8058366687618415,0.0,0.0
7,-1.7319027763856103,-1.7004623572830062,-1.754904599235907,-1.5018506233203421,0.0,0.0
8,-1.8377660240551186,-1.8006446502287528,-1.802516945594254,-1.7169005882619075,0.0,0.0
9,-1.8548452497395027,-1.8314162547521504,0.0,-1.5802808683543992,0.0,0.0
10,-1.8034091594703259,-1.7447068705452042,-1.7645623296527215,0.0,12.63309731070149,0.0
11,-1.893880921145922,1.7528450249716232,-1.7162271646252738,-1.7387447486111411,0.0,0.0
12,-1.7937638409953112,-1.6584129106993215,-1.8798582691802226,-1.803714356842422,0.0,0.0
13,-1.8533160982647945,-1.8539021729349527,-1.854802283177266,-1.8678659278360845,0.0,0.0
14,-1.8377412092975045,-1.8722734795865708,0.0,-1.8423788770392673,12.326496601203733,0.0
15,-1.7910047341935673,-1.7527266509455872,-1.7427455635143603,0.0,0.0,0.0
16,-1.7498847762501146,-1.8297966606569407,-1.7716761239613517,-1.7680248342490763,12.12291471730791,0.0
17,-1.7635072935467537,-1.7895027156650531,-1.3019591925387526,-1.7598525678765458,0.0,0.0
18,-1.8855624734494492,-1.8376178792062814,0.8989857541590283,-1.7281405583381195,0.0,0.0
19,5.173875429330427,-1.5237911555315438,0.0,-1.5474575284337342,0.0,0.0
20,-1.5987937423688137,0.0,-1.842705267592319,0.0,0.0,0.0
21,-1.7550296918337256,0.0,-1.783197122416235,-1.7763966541582765,0.0,0.0
22,-1.3141790958386115,0.0,-1.8399845391574607,-1.8122245597444697,0.0,0.0
23,-1.8221026089292596,0.0,-1.584689456388403,-1.8539738308488793,0.0,0.0
24,-0.22934036967074628,0.0,0.0,-1.9077472612380473,0.0,0.0
25,0.0,-1.9015083769150134,-1.8929031539478378,0.0,0.0,12.068042120573196
26,0.0,-1.8698687119551176,-1.8513210432508678,-1.890752414018158,0.0,0.0
27,0.0,-1.8581350866571662,-1.8355338511610673,-1.8488783372975517,0.0,0.0
28,0.0,-1.8471498992041588,-1.837000188851185,-1.8348371985096823,0.0,0.0
29,0.0,-1.8462131565248465,0.0,-1.8387170085540219,0.0,12.104996123363472
30,-1.8994388500095103,-1.905765063531855,-1.9014023595573515,0.0,0.0,0.0
31,-1.8673155182345251,-1.9014895649142307,-1.8833200165703479,-1.8849379523180891,0.0,0.0
32,-1.8455322730398604,-1.8744130667852428,-1.8659863783400512,-1.8663728023939754,0.0,0.0
33,-1.8628216993363313,-1.8735975945261023,-1.8612182143039877,-1.8656425453621428,0.0,0.0
34,-1.8301507115642566,-1.8062324495499178,0.0,-1.8653735530197948,0.0,0.0
35,-1.89189787169312,-1.8941625767893515,-1.8889164229166928,0.0,0.0,0.0
36,-1.8809252662916132,-1.8976325075063207,0.21986334975382138,-1.8825657188618132,0.0,0.0
37,-1.8757602271407472,-1.8820614491213687,-1.8694860182919957,-1.875504491353727,0.0,12.225978655252549
38,-1.8588638404822926,-1.7543203507531557,-1.8395379835313548,-1.8402477867930664,0.0,0.0
39,-1.8225736526000726,-1.0755279138848586,0.0,-1.8931196416504137,0.0,0.0
40,-1.8735550114799189,-1.8862984911704275,-1.883340791278167,0.0,0.0,0.0
41,-1.907034500711252,-1.9020849562007829,-1.9054739101845612,-1.896625146942509,0.0,0.0
42,-1.8792284943276727,-1.7777005771946197,-1.8735766391748219,-1.8857226940888592,0.0,0.0
43,-1.8557678790197367,-1.3100148683341963,-1.8747274175014157,-1.8577946789981827,0.0,0.0
44,-1.7627424208397822,-0.5165254338294919,0.0,-1.8977235310013594,0.0,0.0
45,-1.8820601361392018,0.0,-1.901753055974456,0.0,0.0,0.0
46,-1.8817299303112525,0.0,-1.8448417346068555,-1.8967352019735657,0.0,0.0
47,-1.8388615403041477,0.0,-0.15829344095098818,-1.8746322363677557,0.0,0.0
48,-1.8031318415849744,0.0,-0.2302178289245103,-1.6541892641941858,0.0,0.0
49,-1.1099099493140336,0.0,0.0,-0.9773949194692908,0.0,12.394501406376849
