,North,South,East,West,Pickup,Drop
0,0.0,-1.9558745934952562,-1.96569844940138,0.0,0.0,0.0
1,0.0,-1.9352798218964944,-1.9604326371806207,-1.968860015528143,0.0,0.0
2,0.0,-1.8884758188042592,-1.9271499283590372,-1.9743258898961373,0.0,0.0
3,0.0,-1.598745554144156,-1.4588176033311018,-1.9446468407555493,0.0,0.0
4,0.0,-0.9164450231123097,0.0,-1.8947420792436322,0.0,0.0
5,-1.9765901636570296,-1.5722654234900586,-1.9708572920686878,0.0,0.0,0.0
6,-1.9774421352003029,-0.8383947212419174,-1.8906904720474476,-1.9043812969026437,0.0,0.0
7,-1.96937523104277,-1.663179498149811,-1.5222737133011672,-1.6832032379618984,0.0,0.0
8,-1.8763574645680499,-1.4918326590877284,-0.7368558520315872,-1.8712590209254838,0.0,0.0
9,-1.5825339339583429,-0.3619839485901024,0.0,-1.7783108924804156,0.0,0.0
10,-1.9482805005220376,-1.5955023750201516,-0.7532889959804496,0.0,0.0,0.0
11,-1.8999467314850298,5.056233565027977,-1.7373473061558,-1.7516180644118349,0.0,0.0
12,-1.9064448446640196,-0.816740958585613,-1.7149231292289482,-0.05518686445436871,0.0,0.0
13,-1.8416189744247125,-1.5438555390707638,0.7274403496949888,-1.6114383896841151,0.0,0.0
14,-1.28317280374686,-0.6780550056371757,0.0,-1.3149169554994327,12.15943734733742,0.0
15,-1.8087823259677918,-1.6280207572841507,4.980871235026665,0.0,0.0,0.0
16,-1.2120617060158043,-1.2656064077356775,-1.3548905795280002,-1.2347183158062585,12.124058226319555,0.0
17,-1.8042051835206792,-1.5762889432118925,-1.7008046954722136,4.986652747072119,0.0,0.0
18,-1.3170186268410087,-1.8104207276205264,-0.12272492961526443,-1.2750222928084183,0.0,0.0
19,0.7844711034454519,-1.7181098306719376,0.0,-1.5828554530079075,0.0,0.0
20,-0.19046066157937752,0.0,-1.6189275574192248,0.0,0.0,0.0
21,4.824940094140078,0.0,-1.63223587735204,-1.6064968309688485,0.0,0.0
22,-1.2222990141521466,0.0,-1.8518786591510836,-0.4625626512103542,0.0,0.0
23,-1.8077309665175325,0.0,-1.4860903553841736,-1.665054111467494,0.0,0.0
24,-0.8826335711228255,0.0,0.0,-1.8421945227216143,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,12.021333607068588
26,0.0,-1.7092649218476672,-1.8575415660612644,4.9322306489950645,0.0,0.0
27,0.0,-1.8926406064941674,-1.8526506714707078,-1.1838388873320689,0.0,0.0
28,0.0,-1.901458874167743,-1.8321337266337347,-1.7616134571537416,0.0,0.0
29,0.0,-1.7543692908291142,0.0,-1.891751190542994,0.0,12.640093539276794
30,4.99028110324676,-1.923361761578228,-1.7451065900763174,0.0,0.0,0.0
31,-1.6413823658962645,-1.7991296021455274,-1.895208090157316,-0.6838789901706885,0.0,0.0
32,-1.6879935339546885,-1.907852231706054,-1.7896451432887117,-1.6816779649596096,0.0,0.0
33,-1.8127168997481855,-1.8643740693980209,-1.7094515161811685,-1.8920034658043305,0.0,0.0
34,-1.4465283374136624,-1.8618018584333753,0.0,-1.8828027203322844,0.0,0.0
35,-1.7529456415785019,-1.9471924226176598,-1.6724574269713974,0.0,0.0,0.0
36,-1.8061515242876496,-1.9379776287911064,-1.643150235238294,-1.9087479579984112,0.0,0.0
37,-1.8574038358996048,-1.9130876360044091,-1.8265573713211758,-1.8442306107467439,0.0,12.15259503407284
38,-1.7703997812498495,-1.907704883950756,-1.6288379356944918,-1.8251234889580443,0.0,0.0
39,-1.7416470669904476,-1.2585201614752433,0.0,-1.8684168796641538,0.0,0.0
40,-1.8543915547782357,-1.980070504837256,-1.8759099624108813,0.0,0.0,0.0
41,-1.8492206177110022,-1.9308036302684366,-1.6260204845645143,-1.973871720296647,0.0,0.0
42,-1.7797659755167627,-1.9273143777973423,-1.897232988013525,-1.9315166711270648,0.0,0.0
43,-1.863177774474539,-1.8863127102357895,-1.8862293633237375,-1.8806514358132311,0.0,0.0
44,-1.721676618537173,-0.8340536110565915,0.0,-1.8754205348840518,0.0,0.0
45,-1.9418868927780004,0.0,-1.9584364656252347,0.0,0.0,0.0
46,-1.8817790472334743,0.0,-1.9593788059230137,-1.9677539462503377,0.0,0.0
47,-1.8979751060863597,0.0,-1.825822367756384,-1.953469001354868,0.0,0.0
48,-1.924989629123909,0.0,-1.5161610443128857,-1.925974605883217,0.0,0.0
49,-1.6344867237211556,0.0,0.0,-1.7745371895719906,0.0,12.344635450961738
