,North,South,East,West,Pickup,Drop
0,0.0,-1.9277088696795952,-1.934688082947583,0.0,0.0,0.0
1,0.0,-1.9033564613527494,-1.873797700178891,-1.8886136643586724,0.0,0.0
2,0.0,-1.733784088503386,-1.7872705600462195,-1.8378981971834616,0.0,0.0
3,0.0,-1.7475643923014186,-1.425243033927193,-1.7393722196743218,0.0,0.0
4,0.0,-1.6985437547023525,0.0,-1.744997442871064,0.0,0.0
5,-1.8911239059207736,-1.8819080541707738,-1.8573628526465558,0.0,0.0,0.0
6,-1.9081977248349897,-1.85237913495231,-1.7742135536409758,-1.8424636283330944,0.0,0.0
7,-1.770025280784159,-1.7103080734026788,-1.741260784049317,-1.8592395782519469,0.0,0.0
8,-1.7940574460131655,-1.806858149564833,-1.7740758421564744,-1.769751224492445,0.0,0.0
9,-1.6868246134969782,-1.7568732374838278,0.0,-1.7150026724351397,0.0,0.0
10,-1.8566398394529806,-1.8397226120577668,-1.8334840886581838,0.0,0.0,0.0
11,-1.823988039217146,-1.81572518535741,-1.2913034888518442,-1.8282589153717792,0.0,0.0
12,-1.7349137961354395,-1.7555546490898744,-1.6840573578019415,-1.7631774585182347,0.0,0.0
13,-1.7911368329535953,-1.5511999533250593,-1.7950246880841356,-1.7500659304508217,0.0,0.0
14,-1.779309660112331,-1.8036441513562886,0.0,-1.8217138706554545,12.30955809849847,0.0
15,-1.88165078734364,-1.7951189722531133,1.5039331091288095,0.0,0.0,0.0
16,-1.779369531675567,-1.7691437174206563,-1.7426215364695308,-1.8035843068388344,12.022010067266162,0.0
17,-1.6975027044192972,-1.8710104528754339,-1.7183294325292784,4.70235705751162,0.0,0.0
18,-1.780587659288317,-1.8285574453645532,-1.775473937747357,0.25841187597081566,0.0,0.0
19,-1.8126656281511206,-1.7597903932723669,0.0,-1.7948022201894316,0.0,0.0
20,-1.8465072256452228,0.0,-1.8113272394427296,0.0,0.0,0.0
21,1.3442092801275645,0.0,-1.784440206533739,-1.8106018471631642,0.0,0.0
22,-0.3684010000648918,0.0,-1.806701922902004,-1.819982135443802,0.0,0.0
23,-1.8161755043816208,0.0,-1.8031519669866314,-1.6923077602730947,0.0,0.0
24,-1.7903578318139848,0.0,0.0,-1.8591838110992382,0.0,0.0
25,0.0,-1.9764949333059092,-1.980081349175071,0.0,0.0,12.036996429815728
26,0.0,-1.9844453648605263,-1.982832949882028,3.8571093338508438,0.0,0.0
27,0.0,-1.9808212471164284,-1.9831359422580173,-1.2785599852586846,0.0,0.0
28,0.0,-1.9854596655944963,-1.9660818308509727,-1.9849164698665813,0.0,0.0
29,0.0,-1.966664382334796,0.0,-1.9723178582422292,0.0,13.12385412609051
30,3.8559309983549452,-1.9759728061500197,-1.9894970340393265,0.0,0.0,0.0
31,-0.8889642000212024,-1.985105102800869,-1.9824992183537202,-0.8876999176303888,0.0,0.0
32,-1.9875678765480664,-1.9719208143543556,-1.9656183067280588,-1.985426086669425,0.0,0.0
33,-1.9833258774016647,-1.9787428486126797,-1.9888142466772805,-1.9724091895200977,0.0,0.0
34,-1.9651582923053659,-1.9729273928539959,0.0,-1.969309949471584,0.0,0.0
35,-1.2790472569100055,-1.9863404229920698,-1.986548053588182,0.0,0.0,0.0
36,-1.9926664224266313,-1.988779268036709,-1.9583773295884106,-1.989211284264176,0.0,0.0
37,-1.9889581041023243,-1.9746231530722413,-1.9786606588991795,-1.9909085818349586,0.0,13.074019647585434
38,-1.9810938445732769,-1.9813724685376837,-1.9785659970283658,-1.978400372617315,0.0,0.0
39,-1.976287466590597,-1.9808739423082242,0.0,-1.9772116781791818,0.0,0.0
40,-1.9905935410682187,-1.9923708075166593,-1.9910501239187153,0.0,0.0,0.0
41,-1.9850613776698984,-1.9934259758081536,-1.9937503769132543,-1.9923448578590637,0.0,0.0
42,-1.9887319335205687,-1.9922365165180005,-1.98289500475168,-1.9902803391850445,0.0,0.0
43,-1.981426737995454,-1.9867504068441195,-1.9823577885074117,-1.979657194694171,0.0,0.0
44,-1.9800604331482623,-1.9810705238538713,0.0,-1.9809208234518452,0.0,0.0
45,-1.9922669014073837,0.0,-1.9931271167849007,0.0,0.0,0.0
46,-1.99284665541236,0.0,-1.991196397803686,-1.9932090993711915,0.0,0.0
47,-1.897657949417456,0.0,-1.990988213934382,-1.991471115427358,0.0,0.0
48,-1.9661762371371572,0.0,-1.9158978831572098,-1.9903636970234588,0.0,0.0
49,-1.9694936153523017,0.0,0.0,-1.9662203080777214,0.0,12.174884620325567
