,North,South,East,West,Pickup,Drop
0,0.0,-1.7820974041026516,-1.8189432816998576,0.0,0.0,0.0
1,0.0,-1.681659149771116,-1.7297569354858844,-1.7426325924301616,0.0,0.0
2,0.0,-1.6865837071499357,-1.6886017157704765,-1.6918638307001248,0.0,0.0
3,0.0,-1.694751497941677,-1.7309437566797565,-1.7277792671045162,0.0,0.0
4,0.0,-0.40344039475322063,0.0,-1.8050580808724621,0.0,0.0
5,-1.750419273289467,-1.7077412077453589,-1.6560011049847683,0.0,0.0,0.0
6,-1.7220328703583296,-1.6994837014237703,-1.709951790032664,-1.7024229693409658,0.0,0.0
7,-1.6285285429506908,-1.6105341944837985,-1.1826051884391473,-1.6326366982678528,0.0,0.0
8,-1.6594846221426982,-1.653004046086135,-1.5302613789713033,-1.6415228823238017,0.0,0.0
9,-1.726694585192595,-1.7232773832777002,0.0,-1.6446898327997017,0.0,0.0
10,-1.6778992823781689,-1.7342854057877575,-1.7301126569295042,0.0,0.0,0.0
11,-1.720806872713515,-1.7485740888297792,-1.716565502564391,-1.7500230855594827,0.0,0.0
12,-1.701573320899417,-1.7344381769116113,-1.7171068557470766,-1.7234397231020484,0.0,0.0
13,-1.6536266190662738,-1.636328618968811,-1.6929354235128231,-1.698094724114811,0.0,0.0
14,-1.7102241796663311,-1.696779012969484,0.0,-1.7227385618592252,12.201343382329293,0.0
15,-1.7657125876329887,-1.7528640802124458,-1.737569450249993,0.0,0.0,0.0
16,-1.7298619254944563,-1.7402350552206949,-1.7324046929334607,-1.735145326292238,12.075583912319862,0.0
17,-1.696922787199314,-1.7320935509339888,-1.7146756967831585,-1.7195291554336092,0.0,0.0
18,-1.6464928020829062,-1.675996582827479,-0.7636570322801755,-1.6736289787476977,0.0,0.0
19,4.761450801882908,-1.6899617647976006,0.0,-1.6776582416572774,0.0,0.0
20,-1.8033661180640785,0.0,-1.780574048887745,0.0,0.0,0.0
21,-1.7163424852567142,0.0,-1.7435039581520093,-1.7673842069744632,0.0,0.0
22,-1.7149743126516959,0.0,-1.7205237659766026,-1.6827682185126314,0.0,0.0
23,-1.7132913489779829,0.0,-1.7076447769967351,-1.6910843054686735,0.0,0.0
24,0.4613739608888494,0.0,0.0,-1.7194458178734195,0.0,0.0
25,0.0,-1.9122425576711222,-1.9033559206346444,0.0,0.0,12.100970516114604
26,0.0,-1.9109115116901716,-1.9181077658927306,0.17813474285882958,0.0,0.0
27,0.0,-1.9243424085193945,-1.9200582829497477,-1.928204442430494,0.0,0.0
28,0.0,-1.924403635769992,-1.9236711364048094,-1.9258589431244795,0.0,0.0
29,0.0,-1.9179633521646178,0.0,-1.929035047415128,0.0,12.281536587641405
30,-1.906175489896141,-1.909865161775705,-1.9172409696249124,0.0,0.0,0.0
31,-1.913625442301526,-1.9231052114582297,-1.9169965100626256,-1.9174346160588922,0.0,0.0
32,-1.9274603393290335,-1.9268675794052694,-1.9207089766608734,-1.9158271164423728,0.0,0.0
33,-1.9229074312537378,-1.920457235629386,-1.925624309636701,-1.928739130118697,0.0,0.0
34,0.1851862415541572,-1.928468009815035,0.0,-1.929224860159012,0.0,0.0
35,-1.9234647816878927,-1.924965893526542,-1.919783668916538,0.0,0.0,0.0
36,-1.9264362401272097,-1.929832788775082,-1.9203232763974727,-1.9240469850430504,0.0,0.0
37,-1.9169423944876431,-1.925564582676007,-1.9248261812628416,-1.9146745242068848,0.0,12.413470160628563
38,-1.9310327898748008,-1.9265791827892413,-1.9294332085084456,-1.9208798770748383,0.0,0.0
39,-1.9424103683606277,-1.9376206589835894,0.0,-1.9406783752067958,0.0,0.0
40,-1.9330627706697232,-1.9303337889559777,-1.9245848733177386,0.0,0.0,0.0
41,-1.928832540670183,-1.9194418797180046,-1.9306930677409113,-1.9285696836401047,0.0,0.0
42,1.7615505053401317,-1.9185460306829039,-1.923230993767666,-1.9255099685138344,0.0,0.0
43,-1.9203151214274148,-1.9284480585151655,-1.922492380147319,-1.9242246977174151,0.0,0.0
44,-1.9231753554209874,-1.9290413395855075,0.0,-1.9318048149622586,0.0,0.0
45,-1.9251020421723055,0.0,-1.9305092062628875,0.0,0.0,0.0
46,-1.9179180174937764,0.0,-1.92819175152604,-1.9248779365641893,0.0,0.0
47,-1.5978256907964996,0.0,-1.9140178855039736,-1.9229167024787004,0.0,0.0
48,-1.9273386425262928,0.0,-1.9217985682267165,-1.9283860864179063,0.0,0.0
49,-1.9236076301270613,0.0,0.0,-1.9275407327546674,0.0,12.785136228055737
