,North,South,East,West,Pickup,Drop
0,0.0,-1.784861189483614,-1.8750224485895397,0.0,0.0,0.0
1,0.0,-1.8254735692535817,-1.865882559572072,-1.8178046181939707,0.0,0.0
2,0.0,-1.817921900692939,-1.8146082870077176,-1.8469638217165123,12.536820614450628,0.0
3,0.0,-1.7468339785991367,-1.8397705162279743,-1.8270182275246558,0.0,0.0
4,0.0,-0.31187332597236006,0.0,-1.8698181342885065,0.0,0.0
5,-1.8025800076812597,-1.765257291795177,-1.7878168341670035,0.0,0.0,0.0
6,-1.857965401741502,-1.7916902863925013,-1.803841446924758,-1.7785098137011321,0.0,0.0
7,-1.7796995609896338,-1.741495394872504,-1.7317770316937473,-1.754740366470232,0.0,0.0
8,-1.8381846512927096,-1.1965407281128253,-1.827158302298459,-1.7852357889980273,0.0,0.0
9,-1.8665218203550678,-1.5824298092593874,0.0,-1.8357842671713533,0.0,0.0
10,-1.7701835534367403,-1.79949280311046,-1.7851298715666823,0.0,12.564761217244822,0.0
11,-1.8003586464603787,-1.8000449561716318,-1.6966050368980699,-1.7948275916962386,0.0,0.0
12,-1.8034601700329203,-1.7983998102441903,-1.1364063931939166,-1.8107852921529832,0.0,0.0
13,-1.8262480304407873,-1.2598321283115255,-1.5100998647554313,-1.5562910804882661,0.0,0.0
14,-1.659944848589971,-1.8404542563576627,0.0,-1.6214868048879845,12.923201603727938,0.0
15,-1.8182643854381424,-1.7796680462947398,-1.7721145052144545,0.0,0.0,0.0
16,-1.8257227437958994,-1.784338034424798,-1.773812670470757,-1.754249624247068,12.072574216315013,0.0
17,-1.8147902400620621,-1.8007407724473816,-1.7689829944363078,-1.7469091494220126,0.0,0.0
18,-1.0948997527418383,-1.8076652681941978,-0.8161123372068483,-1.7247394846531026,0.0,0.0
19,-0.9864443996125334,-1.6014336214593754,0.0,-1.6634227073564294,0.0,0.0
20,-1.7895410159745102,0.0,-1.7914065527034158,0.0,0.0,0.0
21,0.25562551821716584,0.0,-1.8205023515889815,-1.7968129564526698,0.0,0.0
22,-1.7712503251866774,0.0,-1.772811987767961,-1.8445669106429599,0.0,0.0
23,-1.4943089775771692,0.0,-1.8101713681593277,-1.8146147528938652,0.0,0.0
24,0.06122819707353577,0.0,0.0,-1.8128073610095365,0.0,0.0
25,0.0,-1.6284174885601157,-1.786915989191757,0.0,0.0,12.097194293900966
26,0.0,-1.766013099054982,-1.8742377598270665,-1.7611937005926621,0.0,0.0
27,0.0,-1.8615481242962528,-1.8691541660007989,-1.8091631573280182,0.0,0.0
28,0.0,-1.7777530345118078,4.289587716078374,-1.8764053290348655,0.0,0.0
29,0.0,-1.8808328810151593,0.0,-1.8901377755175797,0.0,12.38292275498608
30,-1.5026157699366647,-1.856943535847361,-1.5607556605635944,0.0,0.0,0.0
31,-1.6637811907609639,-1.8311317215601273,-1.019010987917923,-1.8431085069974003,0.0,0.0
32,-1.8564612992535197,1.4790014035805557,-1.8527531336356662,-1.87951147297233,0.0,0.0
33,-0.10640194381210866,-1.851112030859702,-1.8716198853847847,-1.8688180232808818,0.0,0.0
34,-1.88902015203144,-1.9027945453422392,0.0,-1.584562807842738,0.0,0.0
35,-1.1509212891632792,-1.8808105175610423,-1.880686460382786,0.0,0.0,0.0
36,-1.5473456771208474,-1.86643803297624,-1.8901790384866675,-1.8885158801973927,0.0,0.0
37,-1.9098072617283122,-1.8945987726867837,-1.6947482316679552,-1.9022402330698243,0.0,12.527114484065319
38,-1.8077292561174194,-1.8827068656595656,-1.8995185419758662,2.142564147446701,0.0,0.0
39,-1.903791973939347,-0.8831083994371984,0.0,-1.9175220335236807,0.0,0.0
40,-1.860373777546668,-1.8890931005528246,-1.905553558912131,0.0,0.0,0.0
41,-1.7929022830500039,-1.9281842769051458,-1.9134724226864068,-1.9252404885903558,0.0,0.0
42,-1.904681898426968,-1.912183131876489,-1.8904663681070408,-1.9028546039336829,0.0,0.0
43,-1.2699860283258115,-1.8867857932906575,-1.8854960696832097,-1.908968090854116,0.0,0.0
44,-1.6498330194703619,-1.634987166733814,0.0,-1.8448553973488004,0.0,0.0
45,-1.899964595179658,0.0,-1.9016765681484407,0.0,0.0,0.0
46,-1.9124183472197793,0.0,-1.9052156893603576,-1.9123166738879975,0.0,0.0
47,-1.8965363516806812,0.0,-1.597678848975324,-1.893339800516013,0.0,0.0
48,-1.8910815257928997,0.0,-0.2688651945319806,-1.9033238120216387,0.0,0.0
49,-1.706595476750772,0.0,0.0,-1.8912042251864774,0.0,12.191266645714567
