,0
0,-1
1,-2
2,11
3,10
4,9
5,8
6,7
7,6
8,5
9,4
10,3
11,2
12,1
13,0
14,-1
15,-2
16,-3
17,-4
18,-5
19,-6
20,-7
21,-8
22,-9
23,-10
24,-11
25,-12
26,-13
27,0
28,-1
29,-2
30,-3
31,-4
32,9
33,8
34,7
35,6
36,5
37,4
38,3
39,2
40,1
41,0
42,-1
43,12
44,11
45,10
46,9
47,8
48,7
49,6
50,5
51,4
52,17
53,16
54,15
55,14
56,13
57,12
58,11
59,10
60,9
61,8
62,7
63,6
64,5
65,4
66,3
67,2
68,1
69,0
70,-1
71,-2
72,-3
73,-4
74,-5
75,-6
76,-7
77,6
78,5
79,4
80,3
81,2
82,1
83,0
84,13
85,12
86,11
87,10
88,9
89,8
90,7
91,6
92,5
93,18
94,17
95,16
96,15
97,14
98,27
99,26
100,25
101,24
102,23
103,22
104,21
105,20
106,19
107,32
108,31
109,30
110,29
111,28
112,27
113,26
114,39
115,38
116,37
117,36
118,35
119,34
120,33
121,32
122,31
123,30
124,29
125,28
126,27
127,26
128,25
129,24
130,23
131,22
132,21
133,20
134,19
135,18
136,17
137,16
138,15
139,14
140,13
141,12
142,11
143,10
144,9
145,8
146,7
147,6
148,5
149,4
150,3
151,2
152,1
153,0
154,-1
155,-2
156,-3
157,-4
158,-5
159,-6
160,-7
161,-8
162,-9
163,-10
164,-11
165,2
166,1
167,0
168,-1
169,-2
170,-3
171,-4
172,-5
173,-6
174,-7
175,-8
176,-9
177,-10
178,-11
179,-12
180,-13
181,-14
182,-15
183,-16
184,-17
185,-18
186,-19
187,-20
188,-21
189,-22
190,-23
191,-24
192,-25
193,-26
194,-27
195,-28
196,-29
197,-30
198,-31
199,-32
200,-33
201,-34
202,-35
203,-36
204,-37
205,-38
206,-39
207,-40
208,-41
209,-42
210,-43
211,-44
212,-45
213,-46
214,-47
215,-48
216,-49
217,-50
218,-37
219,-38
220,-39
221,-40
222,-41
223,-42
224,-43
225,-44
226,-45
227,-46
228,-47
229,-48
230,-49
231,-50
232,-51
233,-52
234,-53
235,-54
236,-55
237,-56
238,-57
239,-58
240,-59
241,-60
242,-61
243,-62
244,-63
245,-64
246,-65
247,-66
248,-67
249,-68
250,-69
251,-70
252,-71
253,-72
254,-73
255,-74
256,-75
257,-76
258,-77
259,-78
260,-79
261,-80
262,-81
263,-82
264,-83
265,-84
266,-85
267,-86
268,-87
269,-88
270,-89
271,-90
272,-91
273,-92
274,-93
275,-94
276,-95
277,-96
278,-97
279,-98
280,-99
281,-100
282,-101
283,-102
284,-103
285,-104
286,-105
287,-106
288,-107
289,-108
290,-109
291,-110
292,-111
293,-112
294,-113
295,-100
296,-101
297,-102
298,-103
299,-104
300,-105
301,-106
302,-107
303,-108
304,-109
305,-110
306,-111
307,-112
308,-99
309,-100
310,-101
311,-88
312,-89
313,-90
314,-91
315,-92
316,-93
317,-94
318,-95
319,-96
320,-97
321,-98
322,-99
323,-100
324,-101
325,-102
326,-89
327,-90
328,-91
329,-92
330,-93
331,-80
332,-81
333,-82
334,-83
335,-84
336,-85
337,-86
338,-87
339,-88
340,-89
341,-90
342,-91
343,-92
344,-93
345,-94
346,-95
347,-96
348,-83
349,-84
350,-85
351,-86
352,-87
353,-74
354,-75
355,-76
356,-77
357,-78
358,-79
359,-80
360,-81
361,-82
362,-69
363,-70
364,-71
365,-72
366,-73
367,-74
368,-75
369,-76
370,-77
371,-78
372,-79
373,-80
374,-81
375,-68
376,-69
377,-70
378,-71
379,-72
380,-73
381,-74
382,-75
383,-76
384,-77
385,-78
386,-79
387,-80
388,-81
389,-82
390,-83
391,-84
392,-85
393,-86
394,-87
395,-88
396,-89
397,-90
398,-91
399,-92
400,-93
401,-94
402,-95
403,-96
404,-83
405,-84
406,-85
407,-86
408,-87
409,-88
410,-89
411,-90
412,-91
413,-92
414,-93
415,-94
416,-95
417,-96
418,-97
419,-98
420,-99
421,-100
422,-101
423,-102
424,-103
425,-104
426,-105
427,-106
428,-107
429,-108
430,-109
431,-110
432,-111
433,-112
434,-113
435,-114
436,-115
437,-116
438,-117
439,-104
440,-105
441,-106
442,-93
443,-94
444,-95
445,-96
446,-97
447,-98
448,-99
449,-100
450,-101
451,-102
452,-103
453,-104
454,-105
455,-106
456,-107
457,-108
458,-109
459,-110
460,-111
461,-112
462,-113
463,-114
464,-115
465,-116
466,-117
467,-104
468,-105
469,-106
470,-107
471,-108
472,-109
473,-110
474,-97
475,-98
476,-99
477,-100
478,-101
479,-102
480,-103
481,-104
482,-105
483,-106
484,-107
485,-108
486,-109
487,-110
488,-111
489,-112
490,-113
491,-114
492,-115
493,-116
494,-117
495,-118
496,-119
497,-120
498,-121
499,-122
500,-123
501,-124
502,-125
503,-126
504,-127
505,-128
506,-129
507,-130
508,-131
509,-132
510,-133
511,-134
512,-135
513,-136
514,-137
515,-124
516,-125
517,-126
518,-127
519,-128
520,-129
521,-130
522,-117
523,-118
524,-119
525,-120
526,-121
527,-122
528,-123
529,-124
530,-125
531,-126
532,-127
533,-114
534,-115
535,-116
536,-117
537,-118
538,-119
539,-120
540,-121
541,-122
542,-123
543,-124
544,-125
545,-126
546,-127
547,-128
548,-129
549,-130
550,-131
551,-132
552,-133
553,-134
554,-135
555,-136
556,-137
557,-138
558,-125
559,-126
560,-127
561,-128
562,-129
563,-130
564,-131
565,-132
566,-133
567,-134
568,-135
569,-136
570,-137
571,-138
572,-139
573,-140
574,-141
575,-142
576,-143
577,-144
578,-145
579,-132
580,-1
581,-2
582,11
583,10
584,9
585,8
586,7
587,6
588,5
589,4
590,3
591,16
592,15
593,14
594,13
595,12
596,11
597,10
598,9
599,8
600,7
601,6
602,5
603,4
604,17
605,16
606,15
607,14
608,13
609,26
610,25
611,24
612,37
613,36
614,35
615,48
616,47
617,46
618,59
619,58
620,57
621,70
622,69
623,68
624,67
625,66
626,79
627,78
628,77
629,90
630,89
631,88
632,101
633,100
634,99
635,112
636,111
637,110
638,109
639,108
640,121
641,120
642,119
643,132
644,131
645,130
646,143
647,142
648,141
649,140
650,139
651,138
652,137
653,136
654,135
655,134
656,133
657,132
658,131
659,130
660,129
661,128
662,127
663,126
664,125
665,124
666,123
667,122
668,121
669,120
670,119
671,118
672,117
673,116
674,115
675,114
676,113
677,112
678,111
679,110
680,109
681,108
682,107
683,106
684,105
685,104
686,103
687,102
688,101
689,114
690,113
691,112
692,111
693,110
694,109
695,108
696,121
697,120
698,119
699,118
700,117
701,116
702,115
703,128
704,127
705,126
706,139
707,138
708,137
709,136
710,135
711,134
712,133
713,132
714,131
715,130
716,129
717,128
718,127
719,126
720,125
721,124
722,123
723,122
724,121
725,120
726,119
727,118
728,117
729,116
730,115
731,114
732,113
733,112
734,111
735,110
736,109
737,108
738,107
739,106
740,105
741,104
742,103
743,102
744,101
745,100
746,99
747,98
748,97
749,110
750,109
751,108
752,107
753,106
754,119
755,118
756,117
757,130
758,129
759,128
760,141
761,140
762,139
763,152
764,151
765,150
766,163
767,162
768,161
769,160
770,159
771,158
772,157
773,156
774,155
775,154
776,153
777,152
778,151
779,150
780,149
781,148
782,147
783,160
784,159
785,158
786,157
787,156
788,155
789,154
790,167
791,166
792,165
793,164
794,163
795,162
796,161
797,160
798,159
799,158
800,157
801,156
802,155
803,154
804,153
805,152
806,151
807,150
808,149
809,148
810,147
811,146
812,145
813,144
814,143
815,142
816,141
817,140
818,139
819,138
820,137
821,136
822,135
823,134
824,133
825,132
826,131
827,130
828,129
829,128
830,127
831,126
832,125
833,124
834,123
835,122
836,121
837,120
838,119
839,118
840,117
841,116
842,115
843,114
844,113
845,112
846,111
847,110
848,109
849,108
850,107
